AAAS 	NM_015665
PBX2 	NM_002586
PCBP1 	NM_006196
PCBP2 	NM_005016
PCDHGB5 	NM_032099
PCF11 	NM_015885
PCGF1 	NM_032673
PCGF5 	NM_032373
PCID2 	NM_018386
PCIF1 	NM_022104
PCM1 	NM_006197
PCMT1 	NM_005389
PCNA 	NM_002592
PCNX 	NM_014982
PCNXL4 	NM_022495
PCSK7 	NM_004716
PCYOX1 	NM_016297
PCYT1A 	NM_005017
PDAP1 	NM_014891
PDCD2 	NM_002598
PDCD5 	NM_004708
PDCD6 	NM_013232
PDCD6IP 	NM_013374
PDE12 	NM_177966
PDE6D 	NM_002601
PDGFC 	NM_016205
PDHB 	NM_000925
PDHX 	NM_003477
PDK2 	NM_001199900
PDLIM5 	NM_001256425
PDP2 	NM_020786
PDS5A 	NM_001100399
PDZD11 	NM_016484
PDZD8 	NM_173791
PEBP1 	NM_002567
PEF1 	NM_012392
PELO 	NM_015946
PELP1 	NM_014389
PEPD 	NM_000285
PES1 	NM_014303
PET100 	NM_001171155
PET117 	NM_001164811
PEX1 	NM_000466
PEX11A 	NM_001271573
PEX11B 	NM_003846
PEX12 	NM_000286
PEX13 	NM_002618
PEX14 	NM_004565
PEX16 	NM_004813
PEX19 	NM_002857
PEX2 	NM_000318
PEX26 	NM_017929
PEX5 	NM_000319
PEX6 	NM_000287
PFDN2 	NM_012394
PFDN4 	NM_002623
PFDN5 	NM_002624
PFDN6 	NM_014260
PFN1 	NM_005022
PGAM5 	NM_138575
PGBD3 	NM_170753
PGK1 	NM_000291
PGLS 	NM_012088
PGP 	NM_001042371
PGPEP1 	NM_017712
PGRMC2 	NM_006320
PHACTR4 	NM_023923
PHAX 	NM_032177
PHB 	NM_002634
PHB2 	NM_001144831
PHC2 	NM_004427
PHF10 	NM_018288
PHF12 	NM_020889
PHF20L1 	NM_016018
PHF23 	NM_024297
PHF5A 	NM_032758
PHKB 	NM_000293
PHPT1 	NM_014172
PHRF1 	NM_020901
PI4K2A 	NM_018425
PI4KA 	NM_002650
PI4KB 	NM_002651
PIAS1 	NM_016166
PICALM 	NM_007166
PICK1 	NM_012407
PIGC 	NM_002642
PIGF 	NM_002643
PIGG 	NM_017733
PIGH 	NM_004569
PIGK 	NM_005482
PIGP 	NM_153681
PIGS 	NM_033198
PIGT 	NM_015937
PIGU 	NM_080476
PIGW 	NM_178517
PIGX 	NM_017861
PIGY 	NM_001042616
PIH1D1 	NM_017916
PIK3C3 	NM_002647
PIK3CB 	NM_006219
PIK3R1 	NM_181504
PIK3R4 	NM_014602
PIN1 	NM_006221
PINK1 	NM_032409
PINX1 	NM_017884
PIP5K1A 	NM_003557
PITHD1 	NM_020362
PITPNA 	NM_006224
PITPNB 	NM_012399
PITRM1 	NM_014889
PLA2G12A 	NM_030821
PLAA 	NM_001031689
PLBD2 	NM_173542
PLD3 	NM_012268
PLEKHA1 	NM_021622
PLEKHJ1 	NM_018049
PLEKHM1 	NM_014798
PLGRKT 	NM_018465
PLIN3 	NM_005817
PLOD1 	NM_000302
PLOD3 	NM_001084
PLRG1 	NM_002669
PMF1 	NM_007221
PMF1-BGLAP 	NM_001199661
PMPCA 	NM_015160
PMPCB 	NM_004279
PMS1 	NM_001128144
PMVK 	NM_006556
PNISR 	NM_015491
PNKD 	NM_001077399
PNKP 	NM_007254
PNN 	NM_002687
PNO1 	NM_020143
PNPLA6 	NM_006702
PNPLA8 	NM_015723
PNPO 	NM_018129
PNPT1 	NM_033109
PNRC2 	NM_017761
POFUT1 	NM_015352
POLD2 	NM_006230
POLDIP2 	NM_015584
POLDIP3 	NM_032311
POLE3 	NM_017443
POLE4 	NM_019896
POLG 	NM_002693
POLH 	NM_006502
POLK 	NM_016218
POLL 	NM_013274
POLM 	NM_013284
POLR1C 	NM_203290
POLR1D 	NM_015972
POLR1E 	NM_022490
POLR2A 	NM_000937
POLR2B 	NM_000938
POLR2C 	NM_032940
POLR2D 	NM_004805
POLR2E 	NM_002695
POLR2F 	NM_021974
POLR2G 	NM_002696
POLR2H 	NM_006232
POLR2I 	NM_006233
POLR2J 	NM_006234
POLR2K 	NM_005034
POLR2L 	NM_021128
POLR3C 	NM_006468
POLR3E 	NM_018119
POLR3GL 	NM_032305
POLR3K 	NM_016310
POM121 	NM_172020
POM121C 	NM_001099415
POMGNT1 	NM_017739
POMP 	NM_015932
POMT1 	NM_007171
POP4 	NM_006627
POP5 	NM_015918
POP7 	NM_005837
PPA1 	NM_021129
PPA2 	NM_176867
PPAN 	NM_020230
PPAN-P2RY11 	NM_001040664
PPARA 	NM_005036
PPARD 	NM_006238
PPCS 	NM_024664
PPFIA1 	NM_003626
PPHLN1 	NM_016488
PPID 	NM_005038
PPIE 	NM_006112
PPIF 	NM_005729
PPIG 	NM_004792
PPIH 	NM_006347
PPIL4 	NM_139126
PPM1A 	NM_021003
PPM1B 	NM_002706
PPP1CA 	NM_002708
PPP1CC 	NM_002710
PPP1R10 	NM_002714
PPP1R11 	NM_021959
PPP1R15B 	NM_032833
PPP1R37 	NM_019121
PPP1R7 	NM_002712
PPP1R8 	NM_002713
PPP2CA 	NM_002715
PPP2CB 	NM_001009552
PPP2R1A 	NM_014225
PPP2R2A 	NM_002717
PPP2R2D 	NM_018461
PPP2R3C 	NM_017917
PPP2R4 	NM_021131
PPP2R5A 	NM_006243
PPP2R5B 	NM_006244
PPP2R5C 	NM_002719
PPP2R5D 	NM_006245
PPP2R5E 	NM_006246
PPP4C 	NM_002720
PPP4R1 	NM_005134
PPP4R2 	NM_174907
PPP5C 	NM_006247
PPP6C 	NM_002721
PPP6R2 	NM_014678
PPP6R3 	NM_018312
PPWD1 	NM_015342
PQBP1 	NM_005710
PQLC1 	NM_025078
PQLC2 	NM_017765
PRADC1 	NM_032319
PRCC 	NM_005973
PRDM4 	NM_012406
PRDX1 	NM_002574
PRDX2 	NM_005809
PRDX3 	NM_006793
PRDX5 	NM_012094
PRDX6 	NM_004905
PREB 	NM_013388
PREP 	NM_002726
PRKAA1 	NM_006251
PRKAB1 	NM_006253
PRKACA 	NM_002730
PRKAG1 	NM_002733
PRKAR1A 	NM_002734
PRKRIP1 	NM_024653
PRMT1 	NM_198318
PRMT5 	NM_006109
PRMT7 	NM_019023
PROSC 	NM_007198
PRPF18 	NM_003675
PRPF19 	NM_014502
PRPF3 	NM_004698
PRPF31 	NM_015629
PRPF4 	NM_004697
PRPF40A 	NM_017892
PRPF4B 	NM_003913
PRPF6 	NM_012469
PRPF8 	NM_006445
PRPS1 	NM_002764
PRPSAP1 	NM_002766
PRR14 	NM_024031
PRRC1 	NM_130809
PRRC2A 	NM_004638
PRRC2B 	NM_013318
PRUNE 	NM_021222
PSEN1 	NM_000021
PSEN2 	NM_000447
PSENEN 	NM_172341
PSKH1 	NM_006742
PSMA1 	NM_002786
PSMA2 	NM_002787
PSMA3 	NM_002788
PSMA4 	NM_002789
PSMA5 	NM_002790
PSMA6 	NM_002791
PSMA7 	NM_002792
PSMB1 	NM_002793
PSMB2 	NM_002794
PSMB3 	NM_002795
PSMB4 	NM_002796
PSMB5 	NM_002797
PSMB6 	NM_002798
PSMB7 	NM_002799
PSMC2 	NM_002803
PSMC3 	NM_002804
PSMC4 	NM_006503
PSMC5 	NM_002805
PSMC6 	NM_002806
PSMD1 	NM_002807
PSMD10 	NM_002814
PSMD11 	NM_002815
PSMD12 	NM_002816
PSMD13 	NM_002817
PSMD14 	NM_005805
PSMD2 	NM_002808
PSMD3 	NM_002809
PSMD4 	NM_002810
PSMD5 	NM_005047
PSMD6 	NM_014814
PSMD7 	NM_002811
PSMD8 	NM_002812
PSMD9 	NM_002813
PSME1 	NM_006263
PSME3 	NM_005789
PSMF1 	NM_006814
PSMG2 	NM_020232
PSMG3 	NM_032302
PSMG4 	NM_001128591
PSPC1 	NM_001042414
PTCD1 	NM_015545
PTCD3 	NM_017952
PTDSS1 	NM_014754
PTEN 	NM_000314
PTGES2 	NM_025072
PTGES3 	NM_006601
PTOV1 	NM_017432
PTP4A2 	NM_080391
PTPMT1 	NM_175732
PTPN1 	NM_002827
PTPN11 	NM_002834
PTPN23 	NM_015466
PTRH1 	NM_001002913
PTRH2 	NM_016077
PTRHD1 	NM_001013663
PUF60 	NM_014281
PUM1 	NM_014676
PUM2 	NM_015317
PURA 	NM_005859
PURB 	NM_033224
PUS3 	NM_031307
PUS7 	NM_019042
PUSL1 	NM_153339
PWP1 	NM_007062
PWP2 	NM_005049
PWWP2A 	NM_052927
PXMP4 	NM_007238
PYCR2 	NM_013328
PYGO2 	NM_138300
PYURF 	NM_032906
QARS 	NM_005051
QRICH1 	NM_017730
QRSL1 	NM_018292
QSOX1 	NM_002826
QTRT1 	NM_031209
R3HCC1 	NM_001136108
R3HDM2 	NM_014925
RAB10 	NM_016131
RAB11A 	NM_004663
RAB11B 	NM_004218
RAB14 	NM_016322
RAB18 	NM_021252
RAB1A 	NM_004161
RAB1B 	NM_030981
RAB21 	NM_014999
RAB22A 	NM_020673
RAB2A 	NM_002865
RAB2B 	NM_001163380
RAB3GAP1 	NM_012233
RAB3GAP2 	NM_012414
RAB40C 	NM_021168
RAB4A 	NM_004578
RAB5A 	NM_004162
RAB5B 	NM_002868
RAB5C 	NM_004583
RAB6A 	NM_002869
RAB7A 	NM_004637
RAB9A 	NM_004251
RABEP1 	NM_004703
RABEPK 	NM_005833
RABGEF1 	NM_014504
RABGGTA 	NM_004581
RABGGTB 	NM_004582
RAD1 	NM_002853
RAD17 	NM_002873
RAD23B 	NM_002874
RAD50 	NM_005732
RAD51C 	NM_002876
RAF1 	NM_002880
RALA 	NM_005402
RALBP1 	NM_006788
RALY 	NM_007367
RAN 	NM_006325
RANBP1 	NM_002882
RANBP2 	NM_006267
RANBP3 	NM_003624
RANBP6 	NM_012416
RANGAP1 	NM_002883
RANGRF 	NM_016492
RAP1A 	NM_002884
RAPGEF1 	NM_005312
RAPGEF2 	NM_014247
RARS 	NM_002887
RARS2 	NM_020320
RB1CC1 	NM_014781
RBAK 	NM_021163
RBBP4 	NM_005610
RBBP7 	NM_002893
RBCK1 	NM_006462
RBFA 	NM_024805
RBM10 	NM_005676
RBM12 	NM_006047
RBM12B 	NM_203390
RBM14 	NM_006328
RBM14-RBM4 	NM_001198845
RBM15 	NM_022768
RBM15B 	NM_013286
RBM17 	NM_032905
RBM18 	NM_033117
RBM19 	NM_016196
RBM23 	NM_018107
RBM27 	NM_018989
RBM28 	NM_018077
RBM33 	NM_053043
RBM34 	NM_015014
RBM39 	NM_004902
RBM4 	NM_002896
RBM41 	NM_018301
RBM42 	NM_024321
RBM5 	NM_005778
RBM6 	NM_005777
RBM7 	NM_016090
RBM8A 	NM_005105
RBMX 	NM_002139
RBMXL1 	NM_019610
RBX1 	NM_014248
RC3H2 	NM_018835
RCAN1 	NM_004414
RCHY1 	NM_015436
RCN2 	NM_002902
RDH14 	NM_020905
RDX 	NM_002906
REEP3 	NM_001001330
REEP5 	NM_005669
RELA 	NM_021975
REPIN1 	NM_013400
REPS1 	NM_031922
RER1 	NM_007033
REST 	NM_005612
REXO1 	NM_020695
RFC1 	NM_002913
RFC2 	NM_002914
RFC5 	NM_007370
RFK 	NM_018339
RFNG 	NM_002917
RFT1 	NM_052859
RFWD2 	NM_022457
RFXANK 	NM_003721
RGP1 	NM_001080496
RHBDD1 	NM_032276
RHBDD3 	NM_012265
RHOA 	NM_001664
RHOB 	NM_004040
RHOT1 	NM_018307
RHOT2 	NM_138769
RIC8A 	NM_021932
RIN2 	NM_018993
RING1 	NM_002931
RINT1 	NM_021930
RIOK1 	NM_031480
RIOK2 	NM_018343
RIOK3 	NM_003831
RIPK1 	NM_003804
RMDN1 	NM_016033
RMDN3 	NM_018145
RMI1 	NM_024945
RMND1 	NM_017909
RMND5A 	NM_022780
RMND5B 	NM_022762
RNASEH1 	NM_002936
RNASEH2C 	NM_032193
RNASEK 	NM_001004333
RNF10 	NM_014868
RNF103 	NM_005667
RNF11 	NM_014372
RNF111 	NM_017610
RNF113A 	NM_006978
RNF115 	NM_014455
RNF121 	NM_018320
RNF126 	NM_194460
RNF13 	NM_007282
RNF14 	NM_004290
RNF141 	NM_016422
RNF146 	NM_030963
RNF167 	NM_015528
RNF181 	NM_016494
RNF185 	NM_152267
RNF187 	NM_001010858
RNF216 	NM_207111
RNF220 	NM_018150
RNF25 	NM_022453
RNF26 	NM_032015
RNF31 	NM_017999
RNF34 	NM_025126
RNF4 	NM_002938
RNF40 	NM_014771
RNF5 	NM_006913
RNF6 	NM_005977
RNF7 	NM_014245
RNH1 	NM_002939
RNMTL1 	NM_018146
RNPEP 	NM_020216
ROMO1 	NM_080748
RP9 	NM_203288
RPA2 	NM_002946
RPA3 	NM_002947
RPAIN 	NM_001033002
RPAP3 	NM_024604
RPF1 	NM_025065
RPF2 	NM_032194
RPL10A 	NM_007104
RPL11 	NM_000975
RPL14 	NM_003973
RPL26L1 	NM_016093
RPL27 	NM_000988
RPL30 	NM_000989
RPL31 	NM_000993
RPL32 	NM_000994
RPL34 	NM_000995
RPL35 	NM_007209
RPL35A 	NM_000996
RPL36AL 	NM_001001
RPL4 	NM_000968
RPL6 	NM_000970
RPL7L1 	NM_198486
RPL8 	NM_000973
RPN1 	NM_002950
RPN2 	NM_002951
RPP14 	NM_007042
RPP25L 	NM_148178
RPP30 	NM_006413
RPP38 	NM_006414
RPRD1B 	NM_021215
RPS13 	NM_001017
RPS19BP1 	NM_194326
RPS23 	NM_001025
RPS24 	NM_001026
RPS27L 	NM_015920
RPS5 	NM_001009
RPS6 	NM_001010
RPS6KA3 	NM_004586
RPS6KB1 	NM_003161
RPS6KB2 	NM_003952
RPUSD3 	NM_173659
RQCD1 	NM_005444
RRAGA 	NM_006570
RRM1 	NM_001033
RRN3 	NM_018427
RRNAD1 	NM_015997
RRP1 	NM_003683
RRP36 	NM_033112
RRP7A 	NM_015703
RRP8 	NM_015324
RRS1 	NM_015169
RSAD1 	NM_018346
RSBN1L 	NM_198467
RSC1A1 	NM_006511
RSL1D1 	NM_015659
RSPRY1 	NM_133368
RSRC1 	NM_016625
RSRC2 	NM_023012
RTCA 	NM_003729
RTFDC1 	NM_016407
RTN4 	NM_007008
RUFY1 	NM_025158
RUVBL1 	NM_003707
RWDD1 	NM_015952
RWDD3 	NM_015485
RXRA 	NM_002957
RXRB 	NM_021976
SAE1 	NM_005500
SAMD1 	NM_138352
SAMD4B 	NM_018028
SAMD8 	NM_144660
SAMM50 	NM_015380
SAP18 	NM_005870
SAP30 	NM_003864
SAP30BP 	NM_013260
SAP30L 	NM_024632
SAR1A 	NM_020150
SARNP 	NM_033082
SARS 	NM_006513
SART1 	NM_005146
SART3 	NM_014706
SAT2 	NM_133491
SAV1 	NM_021818
SBDS 	NM_016038
SCAF1 	NM_021228
SCAF11 	NM_004719
SCAF4 	NM_020706
SCAF8 	NM_014892
SCAMP2 	NM_005697
SCAMP3 	NM_005698
SCAND1 	NM_016558
SCAP 	NM_012235
SCARB2 	NM_005506
SCFD1 	NM_016106
SCFD2 	NM_152540
SCNM1 	NM_024041
SCO1 	NM_004589
SCO2 	NM_005138
SCOC 	NM_032547
SCP2 	NM_001007250
SCRIB 	NM_015356
SCRN3 	NM_024583
SCYL1 	NM_020680
SCYL2 	NM_017988
SCYL3 	NM_020423
SDAD1 	NM_018115
SDCBP 	NM_001007068
SDCCAG3 	NM_006643
SDCCAG8 	NM_006642
SDE2 	NM_152608
SDF2 	NM_006923
SDF4 	NM_016176
SDHA 	NM_004168
SDHAF2 	NM_017841
SDHB 	NM_003000
SDHC 	NM_003001
SDHD 	NM_003002
SDR39U1 	NM_020195
SEC11A 	NM_014300
SEC13 	NM_183352
SEC16A 	NM_014866
SEC22B 	NM_004892
SEC22C 	NM_004206
SEC23A 	NM_006364
SEC23IP 	NM_007190
SEC24A 	NM_021982
SEC24B 	NM_006323
SEC24C 	NM_004922
SEC31A 	NM_014933
SEC61A1 	NM_013336
SEC61B 	NM_006808
SEC61G 	NM_014302
SEC62 	NM_003262
SEC63 	NM_007214
SECISBP2 	NM_024077
SEH1L 	NM_031216
SEL1L 	NM_005065
SELK 	NM_021237
SELO 	NM_031454
SELRC1 	NM_023077
SELT 	NM_016275
SENP2 	NM_021627
SENP3 	NM_015670
SENP5 	NM_152699
SENP6 	NM_015571
SEPHS1 	NM_012247
SERBP1 	NM_015640
SERF2 	NM_001018108
SERGEF 	NM_012139
SERINC1 	NM_020755
SERINC3 	NM_006811
SERPINB6 	NM_004568
SERTAD2 	NM_014755
SET 	NM_003011
SETD2 	NM_014159
SETD3 	NM_032233
SETD5 	NM_001080517
SETD6 	NM_001160305
SETD7 	NM_030648
SETD8 	NM_020382
SETDB1 	NM_012432
SF1 	NM_004630
SF3A1 	NM_005877
SF3A3 	NM_006802
SF3B1 	NM_012433
SF3B14 	NM_016047
SF3B2 	NM_006842
SF3B3 	NM_012426
SF3B4 	NM_005850
SF3B5 	NM_031287
SFSWAP 	NM_004592
SGK196 	NM_032237
SGMS1 	NM_147156
SGPL1 	NM_003901
SGSM3 	NM_015705
SGTA 	NM_003021
SH3BP5L 	NM_030645
SH3GLB1 	NM_016009
SHARPIN 	NM_030974
SHOC2 	NM_007373
SIAH1 	NM_003031
SIAH2 	NM_005067
SIGMAR1 	NM_005866
SIKE1 	NM_025073
SIL1 	NM_022464
SIRT2 	NM_012237
SIRT3 	NM_012239
SIRT5 	NM_012241
SIRT6 	NM_001193285
SIVA1 	NM_006427
SKIL 	NM_005414
SKIV2L 	NM_006929
SKIV2L2 	NM_015360
SKP1 	NM_006930
SLC15A4 	NM_145648
SLC20A1 	NM_005415
SLC25A11 	NM_003562
SLC25A26 	NM_173471
SLC25A28 	NM_031212
SLC25A3 	NM_002635
SLC25A32 	NM_030780
SLC25A38 	NM_017875
SLC25A39 	NM_016016
SLC25A44 	NM_014655
SLC25A46 	NM_138773
SLC25A5 	NM_001152
SLC27A4 	NM_005094
SLC30A1 	NM_021194
SLC30A5 	NM_022902
SLC30A9 	NM_006345
SLC35A2 	NM_005660
SLC35A4 	NM_080670
SLC35B1 	NM_005827
SLC35B2 	NM_178148
SLC35C2 	NM_015945
SLC35E1 	NM_024881
SLC35E3 	NM_018656
SLC35F5 	NM_025181
SLC38A2 	NM_018976
SLC39A1 	NM_014437
SLC39A3 	NM_144564
SLC39A7 	NM_006979
SLC41A3 	NM_017836
SLC46A3 	NM_181785
SLC48A1 	NM_017842
SLIRP 	NM_031210
SLMO2 	NM_016045
SLTM 	NM_024755
SMAD2 	NM_005901
SMAD4 	NM_005359
SMAD5 	NM_005903
SMAP1 	NM_021940
SMARCA2 	NM_003070
SMARCA4 	NM_003072
SMARCAL1 	NM_014140
SMARCB1 	NM_003073
SMARCE1 	NM_003079
SMC1A 	NM_006306
SMC5 	NM_015110
SMCR7L 	NM_019008
SMEK1 	NM_032560
SMEK2 	NM_020463
SMG5 	NM_015327
SMG7 	NM_173156
SMG8 	NM_018149
SMIM11 	NM_058182
SMIM12 	NM_138428
SMIM8 	NM_020425
SMNDC1 	NM_005871
SMPD1 	NM_000543
SMPD4 	NM_017751
SMU1 	NM_018225
SMUG1 	NM_014311
SNAP23 	NM_003825
SNAP29 	NM_004782
SNAP47 	NM_053052
SNAPC3 	NM_001039697
SNAPC5 	NM_006049
SNAPIN 	NM_012437
SND1 	NM_014390
SNF8 	NM_007241
SNRNP200 	NM_014014
SNRNP25 	NM_024571
SNRNP27 	NM_006857
SNRNP35 	NM_022717
SNRNP40 	NM_004814
SNRNP48 	NM_152551
SNRNP70 	NM_003089
SNRPA 	NM_004596
SNRPB 	NM_003091
SNRPB2 	NM_003092
SNRPC 	NM_003093
SNRPD1 	NM_006938
SNRPD2 	NM_004597
SNRPD3 	NM_004175
SNRPG 	NM_003096
SNUPN 	NM_005701
SNW1 	NM_012245
SNX12 	NM_013346
SNX13 	NM_015132
SNX17 	NM_014748
SNX18 	NM_052870
SNX19 	NM_014758
SNX2 	NM_003100
SNX25 	NM_031953
SNX3 	NM_003795
SNX4 	NM_003794
SNX5 	NM_014426
SNX6 	NM_021249
SNX9 	NM_016224
SOCS4 	NM_080867
SOCS6 	NM_004232
SOD1 	NM_000454
SON 	NM_032195
SPAG7 	NM_004890
SPAG9 	NM_003971
SPATA2 	NM_006038
SPATA5L1 	NM_024063
SPCS1 	NM_014041
SPCS3 	NM_021928
SPECC1L 	NM_015330
SPEN 	NM_015001
SPG11 	NM_025137
SPG21 	NM_016630
SPG7 	NM_003119
SPHAR 	NM_006542
SPNS1 	NM_032038
SPOP 	NM_003563
SPPL2B 	NM_152988
SPPL3 	NM_139015
SPRYD3 	NM_032840
SPRYD7 	NM_020456
SPSB3 	NM_080861
SPTSSA 	NM_138288
SPTY2D1 	NM_194285
SRA1 	NM_001035235
SRD5A3 	NM_024592
SREBF2 	NM_004599
SREK1IP1 	NM_173829
SRM 	NM_003132
SRP14 	NM_003134
SRP19 	NM_003135
SRP54 	NM_003136
SRP68 	NM_014230
SRP72 	NM_006947
SRP9 	NM_003133
SRPR 	NM_003139
SRPRB 	NM_021203
SRR 	NM_021947
SRRD 	NM_001013694
SRRM1 	NM_005839
SRSF1 	NM_006924
SRSF10 	NM_006625
SRSF11 	NM_004768
SRSF2 	NM_003016
SRSF3 	NM_003017
SRSF4 	NM_005626
SRSF7 	NM_001031684
SRSF8 	NM_032102
SS18L2 	NM_016305
SSB 	NM_003142
SSBP1 	NM_003143
SSNA1 	NM_003731
SSR1 	NM_003144
SSR2 	NM_003145
SSR3 	NM_007107
SSRP1 	NM_003146
SSSCA1 	NM_006396
SSU72 	NM_014188
ST3GAL2 	NM_006927
ST6GALNAC6 	NM_013443
ST7 	NM_018412
STAM 	NM_003473
STAM2 	NM_005843
STAMBP 	NM_006463
STARD3 	NM_006804
STARD7 	NM_020151
STAT3 	NM_003150
STAU1 	NM_004602
STAU2 	NM_014393
STIM1 	NM_003156
STIP1 	NM_006819
STK11 	NM_000455
STK16 	NM_001008910
STOM 	NM_004099
STOML1 	NM_004809
STOML2 	NM_013442
STRAP 	NM_007178
STRIP1 	NM_001270768
STRN3 	NM_014574
STT3A 	NM_152713
STT3B 	NM_178862
STUB1 	NM_005861
STX10 	NM_003765
STX17 	NM_017919
STX4 	NM_004604
STX5 	NM_003164
STX8 	NM_004853
STXBP3 	NM_007269
STYXL1 	NM_016086
SUB1 	NM_006713
SUCLA2 	NM_003850
SUCLG1 	NM_003849
SUCLG2 	NM_003848
SUGP1 	NM_172231
SUGT1 	NM_006704
SUMO1 	NM_003352
SUMO3 	NM_006936
SUN2 	NM_015374
SUPT4H1 	NM_003168
SUPT5H 	NM_003169
SUPT6H 	NM_003170
SUPT7L 	NM_014860
SUPV3L1 	NM_003171
SURF1 	NM_003172
SURF4 	NM_033161
SURF6 	NM_006753
SUV420H1 	NM_016028
SUZ12 	NM_015355
SYAP1 	NM_032796
SYF2 	NM_015484
SYMPK 	NM_004819
SYNCRIP 	NM_006372
SYNJ2BP 	NM_018373
SYNJ2BP-COX16 	NM_001202547
SYPL1 	NM_006754
SYS1 	NM_033542
SYVN1 	NM_032431
SZRD1 	NM_001114600
TAB1 	NM_006116
TAB2 	NM_015093
TACO1 	NM_016360
TADA1 	NM_053053
TADA3 	NM_006354
TAF10 	NM_006284
TAF11 	NM_005643
TAF12 	NM_005644
TAF13 	NM_005645
TAF15 	NM_003487
TAF1D 	NM_024116
TAF4 	NM_003185
TAF5L 	NM_014409
TAF8 	NM_138572
TAF9 	NM_003187
TALDO1 	NM_006755
TAMM41 	NM_138807
TANGO2 	NM_152906
TANGO6 	NM_024562
TANK 	NM_004180
TAOK2 	NM_004783
TAPBP 	NM_003190
TAPT1 	NM_153365
TARDBP 	NM_007375
TARS 	NM_152295
TATDN1 	NM_001146160
TATDN2 	NM_014760
TAX1BP1 	NM_006024
TAZ 	NM_000116
TBC1D1 	NM_015173
TBC1D14 	NM_001113363
TBC1D15 	NM_022771
TBC1D20 	NM_144628
TBC1D22A 	NM_014346
TBC1D23 	NM_018309
TBC1D7 	NM_016495
TBC1D9B 	NM_015043
TBCA 	NM_004607
TBCB 	NM_001281
TBCC 	NM_003192
TBCCD1 	NM_018138
TBCD 	NM_005993
TBCE 	NM_003193
TBK1 	NM_013254
TBRG1 	NM_032811
TBRG4 	NM_004749
TCAIM 	NM_173826
TCEANC2 	NM_153035
TCEB1 	NM_005648
TCEB2 	NM_007108
TCEB3 	NM_003198
TCERG1 	NM_006706
TCF12 	NM_207040
TCF20 	NM_005650
TCF25 	NM_014972
TCP1 	NM_030752
TCTN3 	NM_015631
TDP2 	NM_016614
TDRD3 	NM_030794
TECR 	NM_138501
TEF 	NM_003216
TEFM 	NM_024683
TELO2 	NM_016111
TERF2 	NM_005652
TERF2IP 	NM_018975
TEX2 	NM_018469
TEX261 	NM_144582
TEX264 	NM_015926
TFAM 	NM_003201
TFB1M 	NM_016020
TFB2M 	NM_022366
TFCP2 	NM_005653
TFDP1 	NM_007111
TFE3 	NM_006521
TFG 	NM_006070
TFIP11 	NM_012143
TFPT 	NM_013342
TGIF2-C20orf24 	NM_001199535
TGOLN2 	NM_006464
THADA 	NM_001271643
THAP3 	NM_001195752
THAP4 	NM_015963
THAP5 	NM_182529
THAP7 	NM_030573
THOC5 	NM_003678
THOC7 	NM_025075
THOP1 	NM_003249
THRAP3 	NM_005119
THTPA 	NM_024328
THUMPD3 	NM_015453
THYN1 	NM_014174
TIA1 	NM_022037
TIAL1 	NM_003252
TICAM1 	NM_182919
TIGD5 	NM_032862
TIGD6 	NM_030953
TIMM10 	NM_012456
TIMM10B 	NM_012192
TIMM13 	NM_012458
TIMM17A 	NM_006335
TIMM17B 	NM_005834
TIMM21 	NM_014177
TIMM22 	NM_013337
TIMM44 	NM_006351
TIMM50 	NM_001001563
TIMM8B 	NM_012459
TIMM9 	NM_012460
TIMMDC1 	NM_016589
TINF2 	NM_012461
TIPRL 	NM_152902
TJAP1 	NM_080604
TLE1 	NM_005077
TLK1 	NM_012290
TM2D1 	NM_032027
TM2D2 	NM_031940
TM2D3 	NM_025141
TM9SF1 	NM_006405
TM9SF2 	NM_004800
TM9SF3 	NM_020123
TM9SF4 	NM_014742
TMBIM1 	NM_022152
TMBIM4 	NM_016056
TMBIM6 	NM_003217
TMCC1 	NM_001017395
TMCO1 	NM_019026
TMCO3 	NM_017905
TMED1 	NM_006858
TMED10 	NM_006827
TMED2 	NM_006815
TMED4 	NM_182547
TMED5 	NM_016040
TMED7 	NM_181836
TMED7-TICAM2 	NM_001164468
TMED9 	NM_017510
TMEM101 	NM_032376
TMEM106B 	NM_018374
TMEM106C 	NM_024056
TMEM115 	NM_007024
TMEM120A 	NM_031925
TMEM126A 	NM_032273
TMEM127 	NM_017849
TMEM128 	NM_032927
TMEM129 	NM_138385
TMEM131 	NM_015348
TMEM134 	NM_025124
TMEM141 	NM_032928
TMEM147 	NM_032635
TMEM14B 	NM_030969
TMEM14C 	NM_016462
TMEM161A 	NM_017814
TMEM167B 	NM_020141
TMEM168 	NM_022484
TMEM177 	NM_030577
TMEM179B 	NM_199337
TMEM18 	NM_152834
TMEM184C 	NM_018241
TMEM185B 	NM_024121
TMEM186 	NM_015421
TMEM187 	NM_003492
TMEM189 	NM_199129
TMEM189-UBE2V1 	NM_199203
TMEM19 	NM_018279
TMEM192 	NM_001100389
TMEM199 	NM_152464
TMEM203 	NM_053045
TMEM205 	NM_033408
TMEM214 	NM_017727
TMEM219 	NM_194280
TMEM222 	NM_032125
TMEM223 	NM_001080501
TMEM230 	NM_014145
TMEM242 	NM_018452
TMEM248 	NM_017994
TMEM251 	NM_015676
TMEM256 	NM_152766
TMEM258 	NM_014206
TMEM259 	NM_033420
TMEM30A 	NM_018247
